Agency_Aliases,Agency_Name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image
USTDA,Trade and Development Agency,https://ustda.gov/,"1000 Wilson Blvd. 
Suite 1600 
Arlington, VA 22209-3901",info@ustda.gov,1-703-875-4357,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
DFC,International Development Finance Corporation,https://www.dfc.gov/,"1100 New York Ave., NW 
Washington, DC 20527","
info@dfc.gov",1-202-336-8400,  ,  ,"
Independent Agency",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
WH,White House,https://www.whitehouse.gov/,"1600 Pennsylvania Ave., NW 
Washington, DC 20500",  ,1-202-456-1414;1-202-456-1111,1-202-456-6213;1-202-456-2121,  ,None,United States Government,United States Department of Veterans Affairs;United States Department of Agriculture;United States Department of Education;United States Department of Energy;United States Department of Health and Human Services;United States Department of Homeland Security;United States Department of Housing and Urban Development;United States Department of Labor;United States Department of State;United States Department of the Interior;United States Department of the Treasury;United States Department of Transportation;Council of Economic Advisers;Council on Environmental Quality;United States Department of Defense;Office of Management and Budget;Office of National Drug Control Policy;Office of Science and Technology Policy;Trade Representative;United States Department of Commerce;United States Department of Justice,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
WWICS;Wilson Center,Woodrow Wilson International Center for Scholars,https://www.wilsoncenter.org/,"One Woodrow Wilson Plaza 
1300 Pennsylvania Ave., NW 
Washington, DC 20004-3027","
wwics@wilsoncenter.org",1-202-691-4000,  ,  ,Quasi-official,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
DOC,United States Department of Commerce,https://www.commerce.gov/,"1401 Constitution Ave., NW 
Washington, DC 20230","
TheSec@doc.gov",1-202-482-2000;1-202-482-1154,  ,  ,Executive Department,White House,Bureau of Economic Analysis;Bureau of Industry and Security;Economic Development Administration;International Trade Administration;Minority Business Development Agency;National Institute of Standards and Technology;National Oceanic and Atmospheric Administration;National Technical Information Service;National Telecommunications and Information Administration;Census Bureau;Patent and Trademark Office,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png
CEA,Council of Economic Advisers,https://www.whitehouse.gov/cea/,"The White House 
1600 Pennsylvania Ave., NW 
Washington, DC 20500",  ,  ,  ,  ,Executive Office of the President,White House,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
CEQ,Council on Environmental Quality,https://www.whitehouse.gov/ceq/,"730 Jackson Place, NW 
Washington, DC 20503",  ,1-202-395-5750,  ,  ,Executive Office of the President,White House,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
DOD,United States Department of Defense,https://www.defense.gov/,"1400 Defense Pentagon 
Washington, DC 20301-1400",  ,  ,  ,  ,Executive Department,White House,"United States Air Force;United States Army;Fleet Forces Command;Defense Acquisition University;Defense Advanced Research Projects Agency;Defense Commissary Agency;Defense Contract Audit Agency;Defense Contract Management Agency;Defense Information Systems Agency;Defense Intelligence Agency;Defense Security Cooperation Agency;Defense Security Service;Defense Technical Information Center;Defense Threat Reduction Agency;Office of Economic Adjustment;Joint Chiefs of Staff;Missile Defense Agency;National Defense University;National Geospatial-Intelligence Agency;National Security Agency;United States Navy;Pentagon Force Protection Agency;Defense Health Agency;Unified Combatant Commands;Uniformed Services University of the Health Sciences;Washington Headquarters Services;Defense Finance and Accounting Service;Defense Logistics Agency;Federal Voting Assistance Program;National Reconnaissance Office;Prisoner of War and Missing in Action Accounting Agency;Office of Inspector General, United States Department of Defense",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
ED,United States Department of Education,https://www.ed.gov/,"400 Maryland Ave., SW 
Washington, DC 20202",  ,  ,1-800-877-8339,1-800-872-5327,Executive Department,White House,"Office for Civil Rights, United States Department of Education;Office of Postsecondary Education;Office of Special Education and Rehabilitative Services
Office of Career, Technical, and Adult Education;Education Publications Center (EDPUBS);English Language Acquisition Office;Office of Elementary and Secondary Education;Innovation and Improvement Office;Institute of Education Sciences;Commission on Presidential Scholars;Federal Student Aid Information Center;Literacy Information and Communication System",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
DOE,United States Department of Energy,https://www.energy.gov/,"1000 Independence Ave., SW 
Washington, DC 20585",the.secretary@hq.doe.gov,1-202-586-5000,1-800-877-8339,  ,Executive Department,White House,Energy Efficiency and Renewable Energy;Public Affairs;Energy Information Administration;Office of Environmental Management;Office of Fossil Energy;National Laboratories;National Nuclear Security Administration;Office of Nuclear Energy;Power Administrations;Science Office;Federal Energy Regulatory Commission,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
HHS,United States Department of Health and Human Services,https://www.hhs.gov/,"200 Independence Ave., SW 
Washington, DC 20201",  ,  ,  ,1-877-696-6775,Executive Department,White House,"Administration for Children and Families
AIDS.gov;CDC National STD Hotline;Centers for Disease Control and Prevention;Child Welfare Information Gateway;Eldercare Locator;Food and Drug Administration;HHS-TIPS Fraud Hotline;National Health Information Center;National Institute of Allergy and Infectious Diseases;National Institutes of Health;National Runaway Safeline;Agency for Healthcare Research and Quality;Centers for Medicare and Medicaid Services;Health Resources and Services Administration;Indian Health Service;Substance Abuse and Mental Health Services Administration;Administration for Community Living;Office of Minority Health;National Cancer Institute;President''s Council on Fitness, Sports and Nutrition;Office for Civil Rights, United States Department of Health and Human Services",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
DHS,United States Department of Homeland Security,https://www.dhs.gov/,"245 Murray Lane, SW 
Washington, DC 20528-0075",  ,1-202-282-8000,  ,  ,Executive Department,White House,Federal Emergency Management Agency;FEMA Disaster Assistance;Transportation Security Administration;United States Coast Guard;Computer Emergency Readiness Team;Federal Law Enforcement Training Center;Secret Service;Immigration and Customs Enforcement;United States Citizenship and Immigration Services;Customs and Border Protection;Federal Protective Service;Cybersecurity and Infrastructure Security Agency,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
HUD,United States Department of Housing and Urban Development,https://www.hud.gov/,"451 7th St., SW 
Washington, DC 20410",  ,1-202-708-1112,1-202-708-1455,  ,Executive Department,White House,Office of Community Planning and Development;Government National Mortgage Association (Ginnie Mae);Office of Housing;Office of Lead Hazard Control and Healthy Homes;Multifamily Housing Office;Office of Policy Development and Research;Public and Indian Housing;Office of RESPA and Interstate Land Sales;Office of Manufactured Housing Programs;Office of Fair Housing and Equal Opportunity,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
DOJ,United States Department of Justice,https://www.justice.gov/,"950 Pennsylvania Ave., NW 
Washington, DC 20530",AskDOJ@usdoj.gov,1-202-514-2000,  ,  ,Executive Department,White House,"Trustee Program;Bureau of Prisons;Community Oriented Policing Services;Executive Office for Immigration Review;Federal Bureau of Investigation;Office of Justice Programs;Marshals Service;Office of the Pardon Attorney;Parole Commission;National Central Bureau - Interpol;Antitrust Division;Drug Enforcement Administration;Elder Justice Initiative;Foreign Claims Settlement Commission;Bureau of Alcohol, Tobacco, Firearms and Explosives;Civil Rights Division, United States Department of Justice;Office of Immigrant and Employee Rights;Office on Violence Against Women",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
DOL,United States Department of Labor,https://www.dol.gov/,"Frances Perkins Building 
200 Constitution Ave., NW 
Washington, DC 20210",  ,  ,1-877-889-5627,1-866-487-2365,Executive Department,White House,Employee Benefits Security Administration;Job Corps;Occupational Safety and Health Administration;Office of Disability Employment Policy;Bureau of International Labor Affairs;Bureau of Labor Statistics;Mine Safety and Health Administration;Veterans'' Employment and Training Service;Women''s Bureau;Employment and Training Administration;Wage and Hour Division,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Seal_of_the_United_States_Department_of_Labor.svg/1000px-Seal_of_the_United_States_Department_of_Labor.svg.png
DOS;State Department,United States Department of State,https://www.state.gov/,"2201 C St., NW 
Washington, DC 20520",  ,1-202-647-4000,1-800-877-8339,  ,Executive Department,White House,Arms Control and International Security;Mission to the United Nations;Bureau of Consular Affairs ;Fulbright Foreign Scholarship Board;Political Affairs;Public Diplomacy and Public Affairs,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Seal_of_the_United_States_Department_of_State.svg/1000px-Seal_of_the_United_States_Department_of_State.svg.png
DOI,United States Department of the Interior,https://www.doi.gov/,"1849 C St., NW 
Washington, DC 20240",feedback@ios.doi.gov,1-202-208-3100,  ,  ,Executive Department,White House,"Fish and Wildlife Service;Bureau of Indian Affairs;Bureau of Land Management;Bureau of Reclamation;Federal Consulting Group;Geological Survey;Indian Arts and Crafts Board;National Park Service;Office of Surface Mining, Reclamation and Enforcement;Bureau of Ocean Energy Management;Bureau of Safety and Environmental Enforcement;Office of Natural Resources Revenue",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Seal_of_the_United_States_Department_of_the_Interior.svg/1000px-Seal_of_the_United_States_Department_of_the_Interior.svg.png
USDepartment of the Treasury,United States Department of the Treasury,https://home.treasury.gov/,"1500 Pennsylvania Ave., NW 
Washington, DC 20220",  ,1-202-622-2000,  ,  ,Executive Department,White House,Office of the Comptroller of the Currency;United States Mint;Alcohol and Tobacco Tax and Trade Bureau;Federal Financing Bank;Taxpayer Advocacy Panel;Bureau of Engraving and Printing;Internal Revenue Service;Committee on Foreign Investment in the United States;Bureau of the Fiscal Service,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_the_United_States_Department_of_the_Treasury.svg/1000px-Seal_of_the_United_States_Department_of_the_Treasury.svg.png
DOT,United States Department of Transportation,https://www.transportation.gov/,"1200 New Jersey Ave., SE 
Washington, DC 20590",dot.comments@dot.gov,1-202-366-4000,1-800-877-8339,1-855-368-4200,Executive Department,White House,Federal Aviation Administration;National Highway Traffic Safety Administration;Bureau of Transportation Statistics;Federal Highway Administration;Federal Motor Carrier Safety Administration;Federal Railroad Administration;Federal Transit Administration;Maritime Administration;Pipeline and Hazardous Materials Safety Administration;Office of the Assistant;Secretary for Research and Technology;Saint Lawrence Seaway Development Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Seal_of_the_United_States_Department_of_Transportation.svg/1000px-Seal_of_the_United_States_Department_of_Transportation.svg.png
VA,United States Department of Veterans Affairs,https://www.va.gov/,"810 Vermont Ave., NW 
Washington, DC 20420",  ,  ,1-800-829-4833,1-800-827-1000,Executive Department,White House,National Cemetery Administration;Veterans Benefits Administration;Veterans Day National Committee;Veterans Health Administration,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Seal_of_the_U.S._Department_of_Veterans_Affairs.svg/1000px-Seal_of_the_U.S._Department_of_Veterans_Affairs.svg.png
NSC,National Security Council,https://www.whitehouse.gov/nsc/,"The White House 
1600 Pennsylvania Ave., NW 
Washington, DC 20500",  ,  ,  ,  ,Executive Office of the President,White House,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
OMB,Office of Management and Budget,https://www.whitehouse.gov/omb/,"725 17th St., NW 
Washington, DC 20503",  ,1-202-395-3080,  ,  ,Executive Office of the President,White House,Regulatory Information Service Center,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
ONDCP,Office of National Drug Control Policy,https://www.whitehouse.gov/ondcp/,"The White House 
1600 Pennsylvania Ave., NW 
Washington, DC 20500",  ,  ,  ,  ,Executive Office of the President,White House,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
OSTP,Office of Science and Technology Policy,https://www.whitehouse.gov/ostp/,"Office of Science and Technology Policy 
Executive Office of the President 
1650 Pennsylvania Ave., NW 
Washington, DC 20504",engagement@ostp.eop.gov,1-202-456-4444,  ,  ,Executive Office of the President,White House,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
USTR,Trade Representative,https://ustr.gov/,  ,correspondence@ustr.eop.gov,  ,  ,  ,Executive Office of the President,White House,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Seal_of_the_President_of_the_United_States.svg/1024px-Seal_of_the_President_of_the_United_States.svg.png
AFC;Army Futures,Army Futures Command,https://www.army.mil/futures,,,,,,Executive Department Sub-Office/Agency/Bureau,United States Army,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Army_Futures_Command_SSI.png
OUSD(C);Comptroller;CFO,Under Secretary of Defense (Comptroller),https://comptroller.defense.gov,,,,,,Executive Department Sub-Office/Agency/Bureau,Office of the Secretary of Defense,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_the_U.S._Under_Secretary_of_Defense.svg/2560px-Flag_of_the_U.S._Under_Secretary_of_Defense.svg.png
CMO;OCMO;Chief Management Officer,Office of the Chief Management Officer,https://cmo.defense.gov,,,,,,Executive Department Sub-Office/Agency/Bureau,Office of the Secretary of Defense,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chief_Management_Officer_of_the_Department_of_Defense_emblem.png/
JAIC;Joint AI Center;artificial intelligence;dod ai center,Joint Artificial Intelligence Center,https://www.ai.mil,,,,,,Executive Department Sub-Office/Agency/Bureau,Office of the Secretary of Defense,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
ONR;Naval Research;Navy Research,Office of Naval Research,https://www.onr.navy.mil/en,,,,,,Executive Department Sub-Office/Agency/Bureau,United States Navy,,https://upload.wikimedia.org/wikipedia/commons/2/29/Office_of_Naval_Research_Official_Logo.png
